발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2018,2018-08-09 13:08,주,목,1,1,0,0,0,경기,군포시,차대사람,보도통행중,보도통행중,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,보행자,보행자,950712,1927458,126.9435325,37.34484107
2018,2018-09-17 19:36,야,월,1,1,0,0,0,경기,군포시,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로부근,이륜차,이륜차,승용차,승용차,951942,1927988,126.9573844,37.34968273
2018,2018-02-02 21:00,야,금,1,1,0,0,0,경기,군포시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,948141,1924333,126.9147255,37.31653393
2018,2018-06-20 13:09,주,수,1,1,0,0,0,경기,성남시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,이륜차,이륜차,승용차,승용차,965283,1930995,127.1078708,37.37738183
2018,2018-06-20 06:20,주,수,1,1,0,0,0,경기,시흥시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,자전거,자전거,934017,1927851,126.7550217,37.34734652
2018,2018-06-16 02:43,야,토,1,1,0,0,0,경기,안산시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,942112,1924324,126.8466875,37.31609673
2018,2018-05-13 21:06,야,일,1,1,0,0,0,경기,안산시,차대사람,차도통행중,차도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,941746,1920547,126.8428534,37.28203032
2018,2018-04-10 15:35,주,화,1,1,0,0,0,경기,수원시,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,자전거,자전거,화물차,화물차,955437,1917833,126.997454,37.25832386
2018,2018-04-22 09:30,주,일,1,10,3,2,4,경기,용인시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,964861.9,1920863.9,127.1035947,37.2860472
2018,2018-07-20 16:00,주,금,1,4,1,2,0,서울,송파구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,승용차,승용차,968321,1944464,127.1416059,37.4988946
2018,2018-05-12 04:25,야,토,1,2,1,0,0,경기,안성시,차대차,측면충돌,측면충돌,운전자법규위반,안전거리 미확보,단일로,기타단일로,승용차,승용차,승합차,승합차,969832,1887054,127.1610254,36.98145698
2018,2018-07-23 10:55,주,월,1,4,1,2,0,경기,평택시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,특수차,특수차,승용차,승용차,944016,1886366,126.8710141,36.97407285
2018,2018-05-29 16:55,주,화,1,1,0,0,0,경기,화성시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,단일로,기타단일로,승합차,승합차,보행자,보행자,948148,1903183,126.9162755,37.12589621
2018,2018-05-25 14:30,주,금,1,1,0,0,0,경기,화성시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,946067,1906123,126.892638,37.15227886
2018,2018-04-29 22:05,야,일,1,2,1,0,0,경기,화성시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,보행자,보행자,953327,1913654,126.9739218,37.22055229
2018,2018-10-02 05:08,야,화,1,2,0,1,0,경기,화성시,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,건설기계,건설기계,938437,1920972,126.8054928,37.28564788
2018,2018-09-22 10:20,주,토,1,1,0,0,0,경기,부천시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로횡단보도내,승합차,승합차,자전거,자전거,940066,1948625,126.8216248,37.53499553
2018,2018-07-02 23:23,야,월,1,1,0,0,0,경기,부천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,938420,1948363,126.8030175,37.53252565
2018,2018-08-11 16:55,주,토,1,2,0,1,0,강원,춘천시,차량단독,전도,전도,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1004865.8,1974269,127.5552473,37.76807153
2018,2018-01-18 17:55,주,목,1,1,0,0,0,강원,강릉시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1124529,1972684,128.9134583,37.7453224
2018,2018-08-08 08:37,주,수,1,1,0,0,0,강원,강릉시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1118002,1970607,128.839056,37.72747196
2018,2018-10-23 17:10,주,화,1,1,0,0,0,강원,원주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,주차장,주차장,화물차,화물차,보행자,보행자,1039099,1927001,127.9414118,37.341207
2018,2018-01-02 12:35,주,화,1,1,0,0,0,강원,속초시,차대차,측면충돌,측면충돌,운전자법규위반,차로위반(진로변경 위반),기타,기타,승용차,승용차,이륜차,이륜차,1095344,2023327,128.5889813,38.20518929
2018,2018-09-19 06:30,주,수,1,2,0,1,0,강원,양양군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,기타,기타,농기계,농기계,없음,없음,1100393,2004839,128.6440359,38.03804659
2018,2018-05-25 22:35,야,금,1,1,0,0,0,강원,속초시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1094149,2022513,128.5752268,38.19798014
2018,2018-08-18 09:55,주,토,1,1,0,0,0,강원,양양군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1098824,2001256,128.6256653,38.00593236
2018,2018-11-05 10:05,주,월,1,2,0,1,0,강원,홍천군,차대차,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1041743.4,1963858.3,127.9733582,37.67329954
2018,2018-03-31 11:20,주,토,2,2,0,0,0,강원,홍천군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1057800,1969754,128.155894,37.72556488
2018,2018-07-15 18:45,야,일,1,1,0,0,0,강원,평창군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),사륜오토바이(ATV),없음,없음,1084312.2,1947802.3,128.4541803,37.5256738
2018,2018-10-14 15:50,주,일,1,1,0,0,0,강원,횡성군,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),사륜오토바이(ATV),없음,없음,1052932,1944875,128.0988556,37.5016249
2018,2018-10-06 18:20,야,토,2,4,2,0,0,강원,횡성군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,화물차,화물차,1041697,1944564,127.9717333,37.49939774
2018,2018-04-06 10:10,주,금,1,1,0,0,0,강원,횡성군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1046441,1948514,128.0256516,37.53477361
2018,2018-07-08 08:30,주,일,1,1,0,0,0,강원,인제군,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1049426,1993163,128.0624728,37.93703413
2018,2018-08-04 23:00,야,토,1,1,0,0,0,강원,인제군,차대차,측면충돌,측면충돌,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,자전거,자전거,1073807,2022270,128.3429126,38.197688
2018,2018-04-05 05:43,야,목,1,1,0,0,0,강원,고성군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1088115.7,2040019.9,128.5085138,38.35634693
2018,2018-04-25 23:11,야,수,1,1,0,0,0,강원,고성군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1087265,2042300.1,128.4990611,38.37697706
2018,2018-09-18 08:47,주,화,1,1,0,0,0,강원,고성군,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,건설기계,건설기계,이륜차,이륜차,1091994,2029335,128.5515043,38.25967617
2018,2018-09-19 20:35,야,수,1,1,0,0,0,강원,고성군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,기타,기타,승용차,승용차,보행자,보행자,1088295,2026067,128.5088233,38.23059904
2018,2018-07-20 19:48,야,금,1,1,0,0,0,강원,고성군,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,기타,기타,이륜차,이륜차,없음,없음,1081651,2042483,128.4348181,38.37915527
2018,2018-05-04 05:18,야,금,1,1,0,0,0,강원,철원군,차량단독,공작물충돌,공작물충돌,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,없음,없음,992139,2027306,127.4101632,38.2460667
2018,2018-11-06 11:45,주,화,1,1,0,0,0,강원,동해시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1141743.5,1943895.8,129.1032045,37.48343766
